type,ident,lat,long,y_proj,x_proj,comment,altitude,model,ltime
WAYPOINT,L030,35.09173734,-115.09249901,3884880.23255435,673880.188137607,16-MAY-12 11:14,1179,GPSMap60, 
WAYPOINT,L031,35.09164237,-115.09242249,3884869.83215856,673887.365928563,16-MAY-12 11:14,1177,GPSMap60, 
WAYPOINT,L032,35.09122160,-115.09216508,3884823.61018447,673911.726981238,16-MAY-12 11:13,1178,GPSMap60, 
WAYPOINT,L033,35.08668540,-115.08573482,3884331.70449678,674507.625357774, ,0,GPSMap60, 
WAYPOINT,L034,35.09134381,-115.08605911,3884847.8425747,674468.133133168, ,0,GPSMap60, 
WAYPOINT,L035,35.09157825,-115.08620018,3884873.59936497,674454.772610202, ,0,GPSMap60, 
WAYPOINT,L036,35.09255826,-115.08385912,3884986.40354688,674666.109946715, ,0,GPSMap60, 
WAYPOINT,L037,35.10004976,-115.08454023,3885816.16009926,674588.037764775, ,0,GPSMap60, 
WAYPOINT,L038,35.10097789,-115.08424711,3885919.62141535,674612.777908453, ,0,GPSMap60, 
WAYPOINT,L039,35.10428245,-115.08652439,3886282.17017332,674398.146577106,16-MAY-12 15:24,1118,GPSMap60, 
WAYPOINT,LADYOFSNOW,36.29522994,-115.63211136,4017562.01248125,622827.998440438,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,M484,35.12685232,-115.20091239,3888591.22092944,663926.213215814,20-MAR-12 09:51,1257,GPSMap60, 
WAYPOINT,M485,35.12651470,-115.20138832,3888552.98936527,663883.520291126,20-MAR-12 09:52,1267,GPSMap60, 
WAYPOINT,M486,35.13414675,-115.22098403,3889367.42343805,662082.709749081,20-MAR-12 10:06,1301,GPSMap60, 
WAYPOINT,M487,35.13370603,-115.22084967,3889318.75900657,662095.826121553,20-MAR-12 10:09,1300,GPSMap60, 
WAYPOINT,M488,35.13368843,-115.22094497,3889316.65164864,662087.177478509,20-MAR-12 10:09,1300,GPSMap60, 
WAYPOINT,M489,35.13030499,-115.22254122,3888938.77270387,661948.432290944,20-MAR-12 10:18,1302,GPSMap60, 
WAYPOINT,M490,35.12989327,-115.22676487,3888886.24158111,661564.379893982,20-MAR-12 10:25,1305,GPSMap60, 
WAYPOINT,M491,35.12968901,-115.23662584,3888847.62289533,660666.230073788,20-MAR-12 10:32,1314,GPSMap60, 
WAYPOINT,M492,35.13354125,-115.24986556,3889253.60656951,659452.287118976,20-MAR-12 10:47,1349,GPSMap60, 
WAYPOINT,M493,35.13368407,-115.24992960,3889269.34502395,659446.173406245,20-MAR-12 10:48,1351,GPSMap60, 
WAYPOINT,M494,35.13375582,-115.25403480,3889270.73378041,659071.978561881,20-MAR-12 10:53,1355,GPSMap60, 
WAYPOINT,M495,35.14539024,-115.25993985,3890551.75615013,658511.362633591,20-MAR-12 11:11,1386,GPSMap60, 
WAYPOINT,M496,35.13300983,-115.25556165,3889185.55200202,658934.306323068,20-MAR-12 11:28,1351,GPSMap60, 
WAYPOINT,M497,35.13300690,-115.25556508,3889185.22154011,658933.999483786,20-MAR-12 11:28,1351,GPSMap60, 
WAYPOINT,M498,35.14185257,-115.29479558,3890104.39733309,655342.592187232,20-MAR-12 11:42,1430,GPSMap60, 
